t,kind,value
# event: interval_rest-0-240 kind=interval_rest atSec=240
# event: interval_rest-1-480 kind=interval_rest atSec=480
# event: interval_rest-2-720 kind=interval_rest atSec=720
# event: interval_rest-3-960 kind=interval_rest atSec=960
# event: gradual_fade-4-1080 kind=gradual_fade atSec=1080
0,punchRatePpm,47.56487548082622
0,motionIntensityG,0.9500000000000001
0,activeEnergyKcal,0.04541108986615679
0,heartRateBpm,58.71163557256227
1,punchRatePpm,45.65217407923384
1,motionIntensityG,0.9500000000000001
1,activeEnergyKcal,0.09082217973231357
1,heartRateBpm,60.35297640912941
2,punchRatePpm,47.67218308480993
2,motionIntensityG,0.9500000000000001
2,activeEnergyKcal,0.13623326959847037
2,heartRateBpm,63.62003888406799
3,punchRatePpm,40.07497073332917
3,motionIntensityG,0.9500000000000001
3,activeEnergyKcal,0.18164435946462715
3,heartRateBpm,64.77338048627828
4,punchRatePpm,46.03499091072116
4,motionIntensityG,0.9500000000000001
4,activeEnergyKcal,0.22705544933078392
4,heartRateBpm,67.11996831278032
5,punchRatePpm,48.77512176780184
5,motionIntensityG,0.9500000000000001
5,activeEnergyKcal,0.2724665391969407
5,heartRateBpm,69.8354464146733
6,punchRatePpm,45.96583710080024
6,motionIntensityG,0.9500000000000001
6,activeEnergyKcal,0.31787762906309747
6,heartRateBpm,72.5974394924298
7,punchRatePpm,44.69998302414908
7,motionIntensityG,0.9500000000000001
7,activeEnergyKcal,0.36328871892925424
7,heartRateBpm,75.52022743314618
8,punchRatePpm,46.21774979450902
8,motionIntensityG,0.9500000000000001
8,activeEnergyKcal,0.408699808795411
8,heartRateBpm,75.65946435271992
9,punchRatePpm,45.55280323917665
9,motionIntensityG,0.9500000000000001
9,activeEnergyKcal,0.4541108986615678
9,heartRateBpm,76.3595772110514
10,punchRatePpm,47.89992819177018
10,motionIntensityG,0.9500000000000001
10,activeEnergyKcal,0.49952198852772456
10,heartRateBpm,76.23478549175412
11,punchRatePpm,46.769958329079635
11,motionIntensityG,0.9500000000000001
11,activeEnergyKcal,0.5449330783938814
11,heartRateBpm,80.06244587678427
12,punchRatePpm,44.43871992537798
12,motionIntensityG,0.9500000000000001
12,activeEnergyKcal,0.5903441682600382
12,heartRateBpm,83.80400189202129
13,punchRatePpm,46.11392754516592
13,motionIntensityG,0.9500000000000001
13,activeEnergyKcal,0.635755258126195
13,heartRateBpm,85.4240317413402
14,punchRatePpm,47.114538647020716
14,motionIntensityG,0.9500000000000001
14,activeEnergyKcal,0.6811663479923519
14,heartRateBpm,86.9385837034408
15,punchRatePpm,43.88911817767865
15,motionIntensityG,0.9500000000000001
15,activeEnergyKcal,0.7265774378585087
15,heartRateBpm,87.87892176545553
16,punchRatePpm,45.68142094007346
16,motionIntensityG,0.9500000000000001
16,activeEnergyKcal,0.7719885277246655
16,heartRateBpm,87.44022457040026
17,punchRatePpm,46.2567847712428
17,motionIntensityG,0.9500000000000001
17,activeEnergyKcal,0.8173996175908224
17,heartRateBpm,89.30784235835348
18,punchRatePpm,44.641351029841715
18,motionIntensityG,0.9500000000000001
18,activeEnergyKcal,0.8628107074569792
18,heartRateBpm,88.79235615712442
19,punchRatePpm,41.70898692353164
19,motionIntensityG,0.9500000000000001
19,activeEnergyKcal,0.908221797323136
19,heartRateBpm,90.19343210971319
20,punchRatePpm,45.03444097062706
20,motionIntensityG,0.9500000000000001
20,activeEnergyKcal,0.9536328871892928
20,heartRateBpm,91.66014841383793
21,punchRatePpm,43.78562445266351
21,motionIntensityG,0.9500000000000001
21,activeEnergyKcal,0.9990439770554497
21,heartRateBpm,92.7411470169135
22,punchRatePpm,45.44046859200902
22,motionIntensityG,0.9500000000000001
22,activeEnergyKcal,1.0444550669216064
