t,kind,value
# event: gradual_fade-0-1080 kind=gradual_fade atSec=1080
0,powerWatts,190.0195019233049
0,cadenceSpm,86.44235531684723
0,speedMps,7.600493617865272
0,distanceM,7.600493617865272
0,activeEnergyKcal,0.04435946462715105
0,heartRateBpm,58.610233922681005
1,powerWatts,196.58872538450484
1,cadenceSpm,86.3177787280473
1,speedMps,7.687089587603359
1,distanceM,15.287583205468632
1,activeEnergyKcal,0.0887189292543021
1,heartRateBpm,61.123010530549855
2,powerWatts,194.7037335987013
2,cadenceSpm,87.40834797384312
2,speedMps,7.662441409380269
2,distanceM,22.9500246148489
2,activeEnergyKcal,0.13307839388145315
2,heartRateBpm,60.630520799380015
3,powerWatts,198.79440941754513
3,cadenceSpm,87.10072620734415
3,speedMps,7.715731907521684
3,distanceM,30.665756522370586
3,activeEnergyKcal,0.1774378585086042
3,heartRateBpm,59.86707825574399
4,powerWatts,182.0932535891381
4,cadenceSpm,86.30975226048015
4,speedMps,7.493309867376097
4,distanceM,38.159066389746684
4,activeEnergyKcal,0.22179732313575523
4,heartRateBpm,62.90406468781433
5,powerWatts,179.65076542992966
5,cadenceSpm,85.41370110731052
5,speedMps,7.459655375079358
5,distanceM,45.61872176482604
5,activeEnergyKcal,0.2661567877629063
5,heartRateBpm,65.9984854781232
6,powerWatts,182.34999299854607
6,cadenceSpm,86.18379133374738
6,speedMps,7.496829903516767
6,distanceM,53.11555166834281
6,activeEnergyKcal,0.31051625239005737
6,heartRateBpm,66.82935176809828
7,powerWatts,184.30439224101679
7,cadenceSpm,87.03528139251641
7,speedMps,7.523518073655377
7,distanceM,60.639069741998185
7,activeEnergyKcal,0.35487571701720844
7,heartRateBpm,70.01527541893302
8,powerWatts,198.98330950380094
8,cadenceSpm,84.43019179476671
8,speedMps,7.718175036275155
8,distanceM,68.35724477827334
8,activeEnergyKcal,0.3992351816443595
8,heartRateBpm,71.06371562836155
9,powerWatts,183.3255432948501
9,cadenceSpm,86.56223152709956
9,speedMps,7.510175176098643
9,distanceM,75.86741995437198
9,activeEnergyKcal,0.4435946462715106
9,heartRateBpm,71.34710887089265
10,powerWatts,190.39982125474955
10,cadenceSpm,86.53642451773484
10,speedMps,7.605560971945171
10,distanceM,83.47298092631715
10,activeEnergyKcal,0.48795411089866164
10,heartRateBpm,73.15676562875497
11,powerWatts,177.05250586912564
11,cadenceSpm,86.40728695456299
11,speedMps,7.423518003965507
11,distanceM,90.89649893028266
11,activeEnergyKcal,0.5323135755258127
11,heartRateBpm,74.02775376803332
12,powerWatts,193.57865552406184
12,cadenceSpm,86.11342036797181
12,speedMps,7.647653979770366
12,distanceM,98.54415291005303
12,activeEnergyKcal,0.5766730401529637
12,heartRateBpm,73.5520216395501
13,powerWatts,184.12555062597372
13,cadenceSpm,87.32820818833423
13,speedMps,7.521083779037587
13,distanceM,106.06523668909061
13,activeEnergyKcal,0.6210325047801147
13,heartRateBpm,74.4954396995589
14,powerWatts,202.6843525835913
14,cadenceSpm,86.07816458237623
14,speedMps,7.765733469529918
14,distanceM,113.83097015862053
14,activeEnergyKcal,0.6653919694072657
14,heartRateBpm,73.20795634021646
15,powerWatts,178.17499781065405
15,cadenceSpm,87.11356778354207
15,speedMps,7.439173042041409
15,distanceM,121.27014320066193
15,activeEnergyKcal,0.7097514340344168
15,heartRateBpm,74.7072984934639
16,powerWatts,182.49158478317975
16,cadenceSpm,88.22399487876534
16,speedMps,7.498769790074225
16,distanceM,128.76891299073617
16,activeEnergyKcal,0.7541108986615678
16,heartRateBpm,76.87020793671445
17,powerWatts,192.1798411463746
17,cadenceSpm,86.77422772031998
17,speedMps,7.629188583705841
17,distanceM,136.39810157444202
17,activeEnergyKcal,0.7984703632887188
17,heartRateBpm,79.78612378470415
18,powerWatts,181.3155267453388
18,cadenceSpm,86.38314529292796
18,speedMps,7.482626577904816
18,distanceM,143.88072815234685
18,activeEnergyKcal,0.8428298279158698
18,heartRateBpm,79.72771148579398
19,powerWatts,200.6513000063385
19,cadenceSpm,87.90442168735503
19,speedMps,7.739681090123191
19,distanceM,151.62040924247003
19,activeEnergyKcal,0.8871892925430208
19,heartRateBpm,79.87583584710997
20,powerWatts,176.8650572786174
20,cadenceSpm,85.28986605425533
20,speedMps,7.420897276012478
20,distanceM,159.04130651848251
20,activeEnergyKcal,0.9315487571701718
20,heartRateBpm,82.10631385296875
21,powerWatts,185.0062784085977
21,cadenceSpm,85.54886955095182
21,speedMps,7.533056576627032
21,distanceM,166.57436309510953
21,activeEnergyKcal,0.9759082217973228
21,heartRateBpm,82.34805687450952
22,powerWatts,183.1429038510968
22,cadenceSpm,85.76096380843605
22,speedMps,7.507680324678966
22,distanceM,174.0820434197885
22,activeEnergyKcal,1.020267686424474
22,heartRateBpm,82.3027352551168
23,powerWatts,195.37227238231432
23,cadenceSpm,88.40251306541907
23,speedMps,7.671201363553658
23,distanceM,181.75324478334215
23,activeEnergyKcal,1.064627151051625
23,heartRateBpm,84.38846750371152
24,powerWatts,184.13118072667723
24,cadenceSpm,86.83398225747322
24,speedMps,7.5211604369255385
24,distanceM,189.27440522026768
24,activeEnergyKcal,1.108986615678776
24,heartRateBpm,85.73317418028446
25,powerWatts,191.63942817635393
25,cadenceSpm,86.10098704630077
25,speedMps,7.62203073431503
25,distanceM,196.8964359545827
25,activeEnergyKcal,1.153346080305927
25,heartRateBpm,87.58154567885673
26,powerWatts,175.86351729874724
26,cadenceSpm,87.95455763328442
26,speedMps,7.406863226886755
26,distanceM,204.30329918146944
26,activeEnergyKcal,1.197705544933078
26,heartRateBpm,86.77908814081302
27,powerWatts,192.5724493506798
27,cadenceSpm,87.98624273474067
27,speedMps,7.634380326010157
27,distanceM,211.9376795074796
27,activeEnergyKcal,1.242065009560229
27,heartRateBpm,88.63353513507045
28,powerWatts,187.18209945701236
28,cadenceSpm,87.23782157186386
28,speedMps,7.562473135410352
28,distanceM,219.50015264288996
28,activeEnergyKcal,1.28642447418738
28,heartRateBpm,88.90592564756317
29,powerWatts,194.09040066227377
29,cadenceSpm,86.02572020298307
29,speedMps,7.654387170603773
29,distanceM,227.15453981349373
29,activeEnergyKcal,1.330783938814531
29,heartRateBpm,89.24397465631783
30,powerWatts,189.45444471668822
30,cadenceSpm,88.32859448065238
30,speedMps,7.59295232564573
30,distanceM,234.74749213913947
30,activeEnergyKcal,1.375143403441682
30,heartRateBpm,89.81858427193266
31,powerWatts,188.50511574205615
31,cadenceSpm,86.24862958080371
31,speedMps,7.580248685899863
31,distanceM,242.32774082503934
31,activeEnergyKcal,1.419502868068833
31,heartRateBpm,89.08417034342351
32,powerWatts,181.73345555395275
32,cadenceSpm,85.2455347005727
32,speedMps,7.488371269903289
32,distanceM,249.81611209494264
32,activeEnergyKcal,1.463862332695984
32,heartRateBpm,89.62524496181351
33,powerWatts,179.51342723611089
33,cadenceSpm,85.34894606364148
33,speedMps,7.457753988295807
33,distanceM,257.27386608323843
33,activeEnergyKcal,1.508221797323135
33,heartRateBpm,90.75706832471012
34,powerWatts,182.55360212120968
34,cadenceSpm,84.29379548087022
34,speedMps,7.499619146261615
34,distanceM,264.77348522950007
34,activeEnergyKcal,1.5525812619502861
34,heartRateBpm,90.16398185770372
35,powerWatts,179.87303108944963
35,cadenceSpm,89.04159195223143
35,speedMps,7.462730493095942
35,distanceM,272.236215722596
35,activeEnergyKcal,1.5969407265774371
35,heartRateBpm,89.10241920290089
36,powerWatts,182.9456537542001
36,cadenceSpm,87.78524165771547
36,speedMps,7.504984028303399
36,distanceM,279.7411997508994
36,activeEnergyKcal,1.6413001912045881
36,heartRateBpm,92.18140784031088
37,powerWatts,182.74713177092232
37,cadenceSpm,87.70385439987116
37,speedMps,7.502268388389801
37,distanceM,287.2434681392892
37,activeEnergyKcal,1.6856596558317392
37,heartRateBpm,93.68107535262244
38,powerWatts,181.61350299549326
38,cadenceSpm,85.86066045512733
38,speedMps,7.4867233491593375
38,distanceM,294.7301914884485
38,activeEnergyKcal,1.7300191204588902
38,heartRateBpm,94.43388491891317
39,powerWatts,185.23648010519028
39,cadenceSpm,86.11508097965448
39,speedMps,7.536179720455886
39,distanceM,302.2663712089044
39,activeEnergyKcal,1.7743785850860412
39,heartRateBpm,97.1355466034325
40,powerWatts,181.05676505343092
40,cadenceSpm,87.58943222843402
40,speedMps,7.479065311053447
40,distanceM,309.7454365199578
40,activeEnergyKcal,1.8187380497131922
40,heartRateBpm,99.0672187300904
41,powerWatts,186.50445935118083
41,cadenceSpm,87.51697538395786
41,speedMps,7.553336165443451
41,distanceM,317.2987726854013
41,activeEnergyKcal,1.8630975143403432
41,heartRateBpm,100.04189243845087
42,powerWatts,184.78787304812982
42,cadenceSpm,86.64224368970467
42,speedMps,7.5300910776503
42,distanceM,324.8288637630516
42,activeEnergyKcal,1.9074569789674942
42,heartRateBpm,100.44102769893657
43,powerWatts,195.3719738431217
43,cadenceSpm,86.66216422043479
43,speedMps,7.671197456217508
43,distanceM,332.50006121926907
43,activeEnergyKcal,1.9518164435946452
43,heartRateBpm,100.49916578669979
44,powerWatts,183.49116593117498
44,cadenceSpm,86.3899188495117
44,speedMps,7.512436146023009
44,distanceM,340.01249736529206
44,activeEnergyKcal,1.9961759082217962
44,heartRateBpm,99.81342681275181
45,powerWatts,191.41442531387995
45,cadenceSpm,87.43381036510084
45,speedMps,7.619046570478275
45,distanceM,347.6315439357703
45,activeEnergyKcal,2.0405353728489475
45,heartRateBpm,99.87417066310259
46,powerWatts,184.52448432295853
46,cadenceSpm,85.32650158250341
46,speedMps,7.526511686631644
46,distanceM,355.15805562240195
46,activeEnergyKcal,2.0848948374760985
46,heartRateBpm,101.0536357711265
47,powerWatts,195.14048200956483
47,cadenceSpm,86.11794213899961
47,speedMps,7.668166449316543
47,distanceM,362.82622207171846
47,activeEnergyKcal,2.1292543021032495
47,heartRateBpm,101.53503400737517
48,powerWatts,185.03935607803479
48,cadenceSpm,85.16269722701892
48,speedMps,7.533505500322444
48,distanceM,370.3597275720409
48,activeEnergyKcal,2.1736137667304005
48,heartRateBpm,103.38812916703303
49,powerWatts,196.68156300715597
49,cadenceSpm,88.51437233676329
49,speedMps,7.6882994549064545
49,distanceM,378.04802702694735
49,activeEnergyKcal,2.2179732313575515
49,heartRateBpm,103.62605260159918
50,powerWatts,192.7745127523561
50,cadenceSpm,86.24157528045562
50,speedMps,7.63704960645565
50,distanceM,385.685076633403
50,activeEnergyKcal,2.2623326959847025
50,heartRateBpm,104.8909083086094
51,powerWatts,193.26908049221598
51,cadenceSpm,86.31122089004445
51,speedMps,7.643575041927509
51,distanceM,393.32865167533055
51,activeEnergyKcal,2.3066921606118536
51,heartRateBpm,105.20280213781608
52,powerWatts,185.0201080052315
52,cadenceSpm,86.27651250455733
52,speedMps,7.533244275731104
52,distanceM,400.8618959510616
52,activeEnergyKcal,2.3510516252390046
52,heartRateBpm,103.83466541306295
53,powerWatts,190.11689360809996
53,cadenceSpm,87.54312361441359
53,speedMps,7.601791902942074
53,distanceM,408.4636878540037
53,activeEnergyKcal,2.3954110898661556
