t,kind,value
# event: interval_rest-0-140 kind=interval_rest atSec=140
# event: interval_rest-1-230 kind=interval_rest atSec=230
# event: sudden_stop-2-420 kind=sudden_stop atSec=420
# event: gradual_fade-3-540 kind=gradual_fade atSec=540
0,motionIntensityG,0.5447231322123933
0,cadenceSpm,119.8094212673889
0,activeEnergyKcal,0.04278202676864245
0,heartRateBpm,58.525732547779945
1,motionIntensityG,0.5693577201918931
1,cadenceSpm,119.31111491218923
1,activeEnergyKcal,0.0855640535372849
1,heartRateBpm,60.95638794153446
2,motionIntensityG,0.5622890009951297
2,cadenceSpm,123.67339189537248
2,activeEnergyKcal,0.12834608030592734
2,heartRateBpm,60.384090114750684
3,motionIntensityG,0.5776290353157941
3,cadenceSpm,122.44290482937659
3,activeEnergyKcal,0.1711281070745698
3,heartRateBpm,59.543087440103264
4,motionIntensityG,0.5149997009592678
4,cadenceSpm,119.27900904192056
4,activeEnergyKcal,0.21391013384321225
4,heartRateBpm,62.50469838706487
5,motionIntensityG,0.5058403703622362
5,cadenceSpm,115.69480442924203
5,activeEnergyKcal,0.2566921606118547
5,heartRateBpm,65.52586680297351
6,motionIntensityG,0.5159624737445476
6,cadenceSpm,118.77516533498951
6,activeEnergyKcal,0.29947418738049714
6,heartRateBpm,66.28554402733221
7,motionIntensityG,0.5232914709038129
7,cadenceSpm,122.18112557006563
7,activeEnergyKcal,0.3422562141491396
7,heartRateBpm,69.40228380385808
8,motionIntensityG,0.5783374106392534
8,cadenceSpm,111.7607671790668
8,activeEnergyKcal,0.38503824091778205
8,heartRateBpm,70.3834888498111
9,motionIntensityG,0.5196207873556877
9,cadenceSpm,120.2889261083982
9,activeEnergyKcal,0.4278202676864245
9,heartRateBpm,70.60154075011849
10,motionIntensityG,0.5461493297053107
10,cadenceSpm,120.18569807093938
10,activeEnergyKcal,0.47060229445506696
10,heartRateBpm,72.34769664350901
11,motionIntensityG,0.49609689700922105
11,cadenceSpm,119.66914781825197
11,activeEnergyKcal,0.5133843212237094
11,heartRateBpm,73.15697255510067
12,motionIntensityG,0.5580699582152319
12,cadenceSpm,118.49368147188726
12,activeEnergyKcal,0.5561663479923518
12,heartRateBpm,72.62126645496001
13,motionIntensityG,0.5226208148474014
13,cadenceSpm,123.35283275333688
13,activeEnergyKcal,0.5989483747609942
13,heartRateBpm,73.5063998376658
14,motionIntensityG,0.5922163221884673
14,cadenceSpm,118.35265832950493
14,activeEnergyKcal,0.6417304015296366
14,heartRateBpm,72.1622735128096
15,motionIntensityG,0.5003062417899526
15,cadenceSpm,122.49427113416827
15,activeEnergyKcal,0.684512428298279
15,heartRateBpm,73.60656817003142
16,motionIntensityG,0.5164934429369239
16,cadenceSpm,126.93597951506136
16,activeEnergyKcal,0.7272944550669214
16,heartRateBpm,75.71598064695603
17,motionIntensityG,0.5528244042989047
17,cadenceSpm,121.13691088127993
17,activeEnergyKcal,0.7700764818355638
17,heartRateBpm,78.57990638435562
18,motionIntensityG,0.5120832252950204
18,cadenceSpm,119.57258117171187
18,activeEnergyKcal,0.8128585086042062
18,heartRateBpm,78.47096838679741
19,motionIntensityG,0.5845923750237692
19,cadenceSpm,125.6576867494201
19,activeEnergyKcal,0.8556405353728486
19,heartRateBpm,78.56999021313322
20,motionIntensityG,0.4953939647948152
20,cadenceSpm,115.19946421702127
20,activeEnergyKcal,0.898422562141491
20,heartRateBpm,80.75274876125081
21,motionIntensityG,0.5259235440322413
21,cadenceSpm,116.23547820380728
21,activeEnergyKcal,0.9412045889101334
21,heartRateBpm,80.94811644497995
22,motionIntensityG,0.518935889441613
22,cadenceSpm,117.08385523374419
22,activeEnergyKcal,0.9839866156787758
22,heartRateBpm,80.8577257477111
23,motionIntensityG,0.5647960214336786
23,cadenceSpm,127.6500522616763
23,activeEnergyKcal,1.0267686424474183
23,heartRateBpm,82.89965838477839
24,motionIntensityG,0.5226419277250395
24,cadenceSpm,121.37592902989292
24,activeEnergyKcal,1.0695506692160608
24,heartRateBpm,84.2017991589553
25,motionIntensityG,0.5507978556613272
25,cadenceSpm,118.44394818520311
25,activeEnergyKcal,1.1123326959847033
25,heartRateBpm,86.00880371422365
26,motionIntensityG,0.491638189870302
26,cadenceSpm,125.85823053313769
26,activeEnergyKcal,1.1551147227533458
26,heartRateBpm,85.16614442073758
27,motionIntensityG,0.5542966850650491
27,cadenceSpm,125.98497093896265
27,activeEnergyKcal,1.1978967495219883
27,heartRateBpm,86.98152202742209
28,motionIntensityG,0.5340828729637962
28,cadenceSpm,122.99128628745544
28,activeEnergyKcal,1.2406787762906308
28,heartRateBpm,87.21594362466404
29,motionIntensityG,0.5599890024835266
29,cadenceSpm,118.14288081193226
29,activeEnergyKcal,1.2834608030592733
29,heartRateBpm,87.51709319334867
30,motionIntensityG,0.5426041676875807
30,cadenceSpm,127.35437792260953
30,activeEnergyKcal,1.3262428298279159
30,heartRateBpm,88.05584272003313
31,motionIntensityG,0.5390441840327104
31,cadenceSpm,119.03451832321478
31,activeEnergyKcal,1.3690248565965584
31,heartRateBpm,87.28657877819983
32,motionIntensityG,0.5136504583273227
32,cadenceSpm,115.02213880229081
32,activeEnergyKcal,1.4118068833652009
32,heartRateBpm,87.79378500794608
33,motionIntensityG,0.5053253521354157
33,cadenceSpm,115.43578425456589
33,activeEnergyKcal,1.4545889101338434
33,heartRateBpm,88.8926939573343
34,motionIntensityG,0.5167260079545362
34,cadenceSpm,111.21518192348083
