t,kind,value
# event: interval_rest-0-150 kind=interval_rest atSec=150
# event: interval_rest-1-310 kind=interval_rest atSec=310
# event: grind-2-520 kind=grind atSec=520
# event: gradual_fade-3-620 kind=gradual_fade atSec=620
0,repVelocityMps,0.0825
0,repCount,0
0,motionIntensityG,0.41000000000000003
0,activeEnergyKcal,0.040152963671128104
0,heartRateBpm,58.33982952299762
1,repVelocityMps,0.0825
1,repCount,0
1,motionIntensityG,0.41000000000000003
1,activeEnergyKcal,0.08030592734225621
1,heartRateBpm,60.30640698911019
2,repVelocityMps,0.0825
2,repCount,0
2,motionIntensityG,0.41000000000000003
2,activeEnergyKcal,0.1204588910133843
2,heartRateBpm,60.359607848336886
3,repVelocityMps,0.5446296454674552
3,repCount,1
3,motionIntensityG,1.1297309873469363
3,activeEnergyKcal,0.16061185468451242
3,heartRateBpm,61.78107299213897
4,repVelocityMps,0.08169444682011827
4,repCount,1
4,motionIntensityG,0.41000000000000003
4,activeEnergyKcal,0.20076481835564053
4,heartRateBpm,62.36259625701009
5,repVelocityMps,0.08169444682011827
5,repCount,1
5,motionIntensityG,0.41000000000000003
5,activeEnergyKcal,0.24091778202676864
5,heartRateBpm,78.7923798611744
6,repVelocityMps,0.5233037701224025
6,repCount,2
6,motionIntensityG,1.566493507585138
6,activeEnergyKcal,0.28107074569789675
6,heartRateBpm,95.36046589152288
7,repVelocityMps,0.07849556551836037
7,repCount,2
7,motionIntensityG,0.41000000000000003
7,activeEnergyKcal,0.32122370936902483
7,heartRateBpm,110.89304848769427
8,repVelocityMps,0.07849556551836037
8,repCount,2
8,motionIntensityG,0.41000000000000003
8,activeEnergyKcal,0.3613766730401529
8,heartRateBpm,111.4126457472382
9,repVelocityMps,0.4634769135748242
9,repCount,3
9,motionIntensityG,1.2467126384138139
9,activeEnergyKcal,0.401529636711281
9,heartRateBpm,112.87744519898888
10,repVelocityMps,0.06952153703622363
10,repCount,3
10,motionIntensityG,0.41000000000000003
10,activeEnergyKcal,0.4416826003824091
10,heartRateBpm,112.14164008212661
11,repVelocityMps,0.06952153703622363
11,repCount,3
11,motionIntensityG,0.41000000000000003
11,activeEnergyKcal,0.48183556405353717
11,heartRateBpm,111.45796367185632
12,repVelocityMps,0.4391899445442104
12,repCount,4
12,motionIntensityG,1.5154633643827633
12,activeEnergyKcal,0.5219885277246653
12,heartRateBpm,110.93914543242833
13,repVelocityMps,0.06587849168163155
13,repCount,4
13,motionIntensityG,0.41000000000000003
13,activeEnergyKcal,0.5621414913957934
13,heartRateBpm,113.41909717962285
14,repVelocityMps,0.06587849168163155
14,repCount,4
14,motionIntensityG,0.41000000000000003
14,activeEnergyKcal,0.6022944550669215
14,heartRateBpm,113.64490730839157
15,repVelocityMps,0.42850409036741627
15,repCount,5
15,motionIntensityG,1.335603936778439
15,activeEnergyKcal,0.6424474187380496
15,heartRateBpm,111.38807692133831
16,repVelocityMps,0
16,repCount,5
16,motionIntensityG,0.043240548100123614
16,activeEnergyKcal,0.6826003824091776
16,heartRateBpm,111.30058839188709
17,repVelocityMps,0
17,repCount,5
17,motionIntensityG,0.09853451182048867
17,activeEnergyKcal,0.7227533460803057
17,heartRateBpm,111.83828758174785
18,repVelocityMps,0
18,repCount,5
18,motionIntensityG,0.0709994038644424
18,activeEnergyKcal,0.7629063097514338
18,heartRateBpm,110.45522210411367
19,repVelocityMps,0
19,repCount,5
19,motionIntensityG,0.07604675616883379
19,activeEnergyKcal,0.8030592734225619
19,heartRateBpm,110.19778607023704
20,repVelocityMps,0
20,repCount,5
20,motionIntensityG,0.07373075331796336
20,activeEnergyKcal,0.84321223709369
20,heartRateBpm,110.31619456799923
21,repVelocityMps,0
21,repCount,5
21,motionIntensityG,0.09147013647223709
21,activeEnergyKcal,0.8833652007648181
21,heartRateBpm,109.48538259396715
22,repVelocityMps,0
22,repCount,5
22,motionIntensityG,0.11981088145897824
22,activeEnergyKcal,0.9235181644359461
22,heartRateBpm,106.94192874084567
23,repVelocityMps,0
23,repCount,5
23,motionIntensityG,0.05042489124005009
23,activeEnergyKcal,0.9636711281070742
23,heartRateBpm,106.48876409851016
24,repVelocityMps,0
24,repCount,5
24,motionIntensityG,0.0555212708906704
24,activeEnergyKcal,1.0038240917782024
24,heartRateBpm,105.32244889050783
25,repVelocityMps,0
25,repCount,5
25,motionIntensityG,0.09853780281190826
25,activeEnergyKcal,1.0439770554493306
25,heartRateBpm,105.20526691232755
26,repVelocityMps,0
26,repCount,5
26,motionIntensityG,0.06969627325841539
26,activeEnergyKcal,1.0841300191204588
26,heartRateBpm,104.91902543564566
27,repVelocityMps,0
27,repCount,5
27,motionIntensityG,0.05996019290564262
27,activeEnergyKcal,1.124282982791587
27,heartRateBpm,105.60235130963162
28,repVelocityMps,0
28,repCount,5
28,motionIntensityG,0.07571908821546615
28,activeEnergyKcal,1.1644359464627152
28,heartRateBpm,107.85918362207534
29,repVelocityMps,0
29,repCount,5
29,motionIntensityG,0.11472825001584616
29,activeEnergyKcal,1.2045889101338434
29,heartRateBpm,106.9445208925391
30,repVelocityMps,0
30,repCount,5
30,motionIntensityG,0.045126251956949
30,activeEnergyKcal,1.2447418738049716
30,heartRateBpm,108.31754034172171
31,repVelocityMps,0
31,repCount,5
31,motionIntensityG,0.06968729609208293
31,activeEnergyKcal,1.2848948374760998
31,heartRateBpm,106.90322268493462
32,repVelocityMps,0
32,repCount,5
32,motionIntensityG,0.05012241411178568
32,activeEnergyKcal,1.325047801147228
32,heartRateBpm,106.17453455989306
33,repVelocityMps,0
33,repCount,5
33,motionIntensityG,0.06448705215260007
33,activeEnergyKcal,1.3652007648183562
33,heartRateBpm,105.16359891715089
34,repVelocityMps,0
34,repCount,5
34,motionIntensityG,0.09687736386039997
34,activeEnergyKcal,1.4053537284894844
34,heartRateBpm,104.52217995891834
35,repVelocityMps,0
35,repCount,5
35,motionIntensityG,0.10937521775698458
35,activeEnergyKcal,1.4455066921606126
35,heartRateBpm,104.29703762508287
36,repVelocityMps,0
36,repCount,5
36,motionIntensityG,0.07342795181669301
36,activeEnergyKcal,1.4856596558317408
36,heartRateBpm,104.8105727194491
37,repVelocityMps,0
37,repCount,5
37,motionIntensityG,0.10605345650309882
37,activeEnergyKcal,1.525812619502869
37,heartRateBpm,105.17325992361447
38,repVelocityMps,0
38,repCount,5
38,motionIntensityG,0.0952877676390073
38,activeEnergyKcal,1.5659655831739971
38,heartRateBpm,106.06366324095603
39,repVelocityMps,0
39,repCount,5
39,motionIntensityG,0.053663018663853035
39,activeEnergyKcal,1.6061185468451253
39,heartRateBpm,106.61333891775678
40,repVelocityMps,0
40,repCount,5
40,motionIntensityG,0.07953191742259669
40,activeEnergyKcal,1.6462715105162535
40,heartRateBpm,106.51936391162685
41,repVelocityMps,0
41,repCount,5
41,motionIntensityG,0.06962700878136388
41,activeEnergyKcal,1.6864244741873817
41,heartRateBpm,109.27222569782768
42,repVelocityMps,0
42,repCount,5
42,motionIntensityG,0.08996369286439773
42,activeEnergyKcal,1.72657743785851
42,heartRateBpm,110.20130837396447
43,repVelocityMps,0
43,repCount,5
43,motionIntensityG,0.09832600165568439
43,activeEnergyKcal,1.7667304015296381
43,heartRateBpm,109.66912327656071
44,repVelocityMps,0
44,repCount,5
44,motionIntensityG,0.07074473210034124
44,activeEnergyKcal,1.8068833652007663
44,heartRateBpm,109.08669702553519
45,repVelocityMps,0
45,repCount,5
45,motionIntensityG,0.1280715415343674
45,activeEnergyKcal,1.8470363288718945
45,heartRateBpm,109.53912255202653
46,repVelocityMps,0
46,repCount,5
46,motionIntensityG,0.07009035596902331
46,activeEnergyKcal,1.8871892925430227
46,heartRateBpm,109.40914211907756
47,repVelocityMps,0
47,repCount,5
47,motionIntensityG,0.11795297048591406
47,activeEnergyKcal,1.927342256214151
47,heartRateBpm,110.05943346696762
48,repVelocityMps,0
48,repCount,5
48,motionIntensityG,0.08441644986511009
48,activeEnergyKcal,1.967495219885279
48,heartRateBpm,108.32288975455975
49,repVelocityMps,0
49,repCount,5
49,motionIntensityG,0.058482434394024625
49,activeEnergyKcal,2.007648183556407
49,heartRateBpm,108.67107888297784
50,repVelocityMps,0
50,repCount,5
50,motionIntensityG,0.06948400530302414
50,activeEnergyKcal,2.0478011472275353
50,heartRateBpm,107.30300184223283
51,repVelocityMps,0
51,repCount,5
51,motionIntensityG,0.058496532039240046
51,activeEnergyKcal,2.0879541108986635
51,heartRateBpm,105.05529770722231
52,repVelocityMps,0
52,repCount,5
52,motionIntensityG,0.11989581049138998
52,activeEnergyKcal,2.1281070745697916
52,heartRateBpm,104.18406411801874
53,repVelocityMps,0
53,repCount,5
53,motionIntensityG,0.0540332400922003
53,activeEnergyKcal,2.16826003824092
53,heartRateBpm,104.74237209578816
54,repVelocityMps,0
54,repCount,5
54,motionIntensityG,0.08358280708731679
54,activeEnergyKcal,2.208413001912048
54,heartRateBpm,106.03680449802957
55,repVelocityMps,0
55,repCount,5
55,motionIntensityG,0.0800035712793944
55,activeEnergyKcal,2.2485659655831762
55,heartRateBpm,105.24358866416142
56,repVelocityMps,0
56,repCount,5
56,motionIntensityG,0.06701100758545542
56,activeEnergyKcal,2.2887189292543044
56,heartRateBpm,105.71372523894216
57,repVelocityMps,0
57,repCount,5
57,motionIntensityG,0.07619120026297566
57,activeEnergyKcal,2.3288718929254326
57,heartRateBpm,107.82726185187585
58,repVelocityMps,0
58,repCount,5
58,motionIntensityG,0.08430597142734332
58,activeEnergyKcal,2.369024856596561
58,heartRateBpm,107.38607631844276
59,repVelocityMps,0
59,repCount,5
59,motionIntensityG,0.0682330986237812
59,activeEnergyKcal,2.409177820267689
59,heartRateBpm,106.62675149142369
60,repVelocityMps,0
60,repCount,5
60,motionIntensityG,0.04767943236460155
60,activeEnergyKcal,2.449330783938817
60,heartRateBpm,108.75125791068288
61,repVelocityMps,0
61,repCount,5
61,motionIntensityG,0.08781404452494881
61,activeEnergyKcal,2.510515668153816
61,heartRateBpm,110.90870078029982
62,repVelocityMps,0
62,repCount,5
62,motionIntensityG,0.07159918701243183
62,activeEnergyKcal,2.571699968132571
62,heartRateBpm,110.5697590380731
63,repVelocityMps,0
63,repCount,5
63,motionIntensityG,0.08036940367391324
63,activeEnergyKcal,2.6328836838750824
63,heartRateBpm,110.82122753036248
64,repVelocityMps,0
64,repCount,5
64,motionIntensityG,0.07182791482793738
64,activeEnergyKcal,2.69406681538135
64,heartRateBpm,111.06890986896711
65,repVelocityMps,0
65,repCount,5
65,motionIntensityG,0.06580273883623655
65,activeEnergyKcal,2.755249362651373
65,heartRateBpm,112.30589841722762
66,repVelocityMps,0
66,repCount,5
66,motionIntensityG,0.07617295256193223
66,activeEnergyKcal,2.8164313256851523
66,heartRateBpm,114.45636509034229
67,repVelocityMps,0
67,repCount,5
67,motionIntensityG,0.07627057077935531
67,activeEnergyKcal,2.877612704482688
67,heartRateBpm,115.31416761927105
68,repVelocityMps,0
68,repCount,5
68,motionIntensityG,0.08642430060168062
68,activeEnergyKcal,2.9387934990439795
68,heartRateBpm,116.83496023212794
69,repVelocityMps,0
69,repCount,5
69,motionIntensityG,0.10202872175075038
69,activeEnergyKcal,2.9999737093690273
69,heartRateBpm,118.72639443887253
70,repVelocityMps,0
70,repCount,5
70,motionIntensityG,0.055378287116982075
70,activeEnergyKcal,3.0611533354578313
70,heartRateBpm,121.10492564927185
71,repVelocityMps,0
71,repCount,5
71,motionIntensityG,0.10480390751788987
71,activeEnergyKcal,3.1223323773103915
71,heartRateBpm,122.06851091448497
72,repVelocityMps,0
72,repCount,5
72,motionIntensityG,0.08644018540566825
72,activeEnergyKcal,3.1835108349267074
72,heartRateBpm,125.12065465705204
73,repVelocityMps,0
73,repCount,5
73,motionIntensityG,0.07000709918575136
73,activeEnergyKcal,3.2446887083067795
73,heartRateBpm,127.11470835851819
74,repVelocityMps,0
74,repCount,5
74,motionIntensityG,0.08666820816124368
74,activeEnergyKcal,3.3058659974506077
74,heartRateBpm,129.351497099578
75,repVelocityMps,0
75,repCount,5
75,motionIntensityG,0.0464629609428153
75,activeEnergyKcal,3.367042702358192
