t,kind,value
# event: sudden_stop-0-360 kind=sudden_stop atSec=360
0,repVelocityMps,0.0825
0,repCount,0
0,motionIntensityG,0.43000000000000005
0,activeEnergyKcal,0.04278202676864245
0,heartRateBpm,58.525732547779945
1,repVelocityMps,0.0825
1,repCount,0
1,motionIntensityG,0.43000000000000005
1,activeEnergyKcal,0.0855640535372849
1,heartRateBpm,60.67297668494405
2,repVelocityMps,0.0825
2,repCount,0
2,motionIntensityG,0.43000000000000005
2,activeEnergyKcal,0.12834608030592734
2,heartRateBpm,60.9017553545214
3,repVelocityMps,0.5446296454674552
3,repCount,1
3,motionIntensityG,1.1297309873469363
3,activeEnergyKcal,0.1711281070745698
3,heartRateBpm,62.493852786548544
4,repVelocityMps,0.08169444682011827
4,repCount,1
4,motionIntensityG,0.43000000000000005
4,activeEnergyKcal,0.21391013384321225
4,heartRateBpm,63.24120211865889
5,repVelocityMps,0.08169444682011827
5,repCount,1
5,motionIntensityG,0.43000000000000005
5,activeEnergyKcal,0.2566921606118547
5,heartRateBpm,79.8321409465037
6,repVelocityMps,0.4889287701224025
6,repCount,2
6,motionIntensityG,1.566493507585138
6,activeEnergyKcal,0.29947418738049714
6,heartRateBpm,96.5568429212082
7,repVelocityMps,0.07333931551836037
7,repCount,2
7,motionIntensityG,0.43000000000000005
7,activeEnergyKcal,0.3422562141491396
7,heartRateBpm,112.2416300408591
8,repVelocityMps,0.07333931551836037
8,repCount,2
8,motionIntensityG,0.43000000000000005
8,activeEnergyKcal,0.38503824091778205
8,heartRateBpm,112.90806170789396
9,repVelocityMps,0.39472691357482415
9,repCount,3
9,motionIntensityG,1.2467126384138139
9,activeEnergyKcal,0.4278202676864245
9,heartRateBpm,114.50951229038675
10,repVelocityMps,0
10,repCount,3
10,motionIntensityG,0.0689749824963651
10,activeEnergyKcal,0.47060229445506696
10,heartRateBpm,113.88946105096133
11,repVelocityMps,0
11,repCount,3
11,motionIntensityG,0.055555242308746575
11,activeEnergyKcal,0.5133843212237094
11,heartRateBpm,113.53213417398787
12,repVelocityMps,0
12,repCount,3
12,motionIntensityG,0.12137086031499861
12,activeEnergyKcal,0.5561663479923518
12,heartRateBpm,113.27273967021733
13,repVelocityMps,0
13,repCount,3
13,motionIntensityG,0.12173269062505426
13,activeEnergyKcal,0.5989483747609942
13,heartRateBpm,114.8443999511978
14,repVelocityMps,0
14,repCount,3
14,motionIntensityG,0.08813040245729029
14,activeEnergyKcal,0.6417304015296366
14,heartRateBpm,113.21338520911907
15,repVelocityMps,0
15,repCount,3
15,motionIntensityG,0.08713296405725289
15,activeEnergyKcal,0.684512428298279
15,heartRateBpm,114.22442160941732
16,repVelocityMps,0
16,repCount,3
16,motionIntensityG,0.07827374196224746
16,activeEnergyKcal,0.7272944550669214
16,heartRateBpm,114.91262035213235
